truncation,levels,exact fidelity,bo_fidelity,qutip fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,,,
2.0,2.0,0.4502409328506388,0.99990517,0.20086119464486885,"[1.0102258, 2.2868605]","[1.3889776, -1.4159787]","[-0.00715268, 0.044917516]","[0.67155796, 2.4562979]","[0.0, -2.4804306]","[-0.003947735, -0.0065715313]"
2.0,4.0,0.5817451938373388,0.9984696,0.34141705180434173,"[-0.31009245, 2.419283, -0.05856901, 0.6432908]","[0.20300822, -0.54748774, -0.15131505, -0.38355398]","[2.1047585, 3.3285022, -0.7563763, 1.0108573]","[1.9124396, -0.34505397, 1.0639067, 1.5134602]","[0.0, 1.9725811, -0.51142645, -2.29686]","[-3.1293118, -2.9805396, 1.4199126, 1.306607]"
2.0,6.0,0.298835779922075,0.99770176,0.09340432647873359,"[0.19465461, -0.16490455, 0.25850418, 0.53592074, -1.9252479, 0.4475959]","[-0.27733976, 2.3692641, -0.34472942, -2.904897, 0.4074674, 0.16590106]","[0.89012414, 2.3525536, -1.023104, 0.830776, -1.6801463, 0.36410496]","[1.8185401, -2.191249, 0.24338038, 1.895769, 0.6279572, -1.3862138]","[0.0, 0.16305661, 1.4834921, -1.8217808, -2.7514112, -0.11678815]","[-0.8435867, -1.7958561, -0.36112165, -0.31126618, -1.517399, -2.3239076]"
2.0,8.0,0.10141144703404266,0.9999342,0.01211976268920192,"[1.1157811, -1.7663788, -0.61095774, -0.53057784, -0.24859531, 2.1021304, 2.1602345, -1.866915]","[-1.2921664, 0.8853085, 0.92280036, -0.31567177, 0.48143837, 1.5577874, 0.54087466, 0.9180445]","[0.83930856, 1.2247221, 0.2737824, -0.29197222, 0.6724429, 0.45615682, 1.0465735, 0.7139392]","[-1.3030325, -2.135097, -0.3123475, 0.17628336, -0.5987965, 0.6410216, -1.7981366, -0.21420677]","[0.0, 2.0775592, -2.3401077, 1.1949193, 1.5345032, 2.3165252, -2.3172436, -2.857857]","[0.91741204, 2.6013148, -2.6596978, -0.93680215, 1.8188221, -0.20229125, 0.6916568, 0.71507645]"
2.0,10.0,0.07568313803376153,0.9986625,0.001954458453253437,"[-1.4810942, 0.025052754, -0.6282462, 0.24795423, 0.3217138, -0.13348348, 0.6418991, 1.3423362, 1.774037, -2.2042716]","[0.49863532, -0.5583259, 2.1635866, -0.557896, -0.6772438, -0.77048576, -0.22786328, -1.996722, 1.188466, 0.26955095]","[-0.5898931, 1.0431235, 2.131552, 0.07389648, 1.9828203, -0.5389219, -0.2513451, -1.5870908, -2.742071, 0.77045727]","[-0.0317617, -0.7956488, 0.17749031, 0.73389393, -1.6212578, -0.2997996, 0.11450849, 1.0837781, 0.13768092, -0.052044317]","[0.0, -1.9601148, 0.91906, -0.46671796, 2.8259394, 0.22786498, 1.944978, 0.54615116, -1.8660089, -2.477173]","[-1.251056, 2.206797, 2.3142264, 3.0621655, 0.44355583, 2.4446523, 2.5337522, -1.3016046, -0.59386516, 1.9837391]"
2.0,12.0,0.43531288560943204,0.99770033,0.22870932599359983,"[-0.28392476, -0.28800133, 0.59818995, 1.5126908, -1.4801092, -2.014846, 2.0634778, 1.2406745, -0.86073214, 0.028859165, 0.92343605, 0.84891415]","[-0.4136304, 2.0632188, 0.111344986, 2.1955342, 0.12714632, 0.21469854, -0.8243512, -0.4630582, -1.4302579, -0.08250029, 1.951225, 1.9548595]","[-0.22921398, -1.1498911, 1.0643588, -0.24905935, 0.5832472, -1.132493, 0.3144437, 0.48959696, -0.15008551, -2.0716667, -0.21899776, 0.65572214]","[1.3200058, 0.9592539, 1.7666098, 0.6676343, -0.9919886, -0.58090997, 0.94396, -2.6199312, -0.046596333, 0.43696025, 1.1763332, 0.6641374]","[0.0, -0.47548652, 2.7850091, 2.6860688, 0.36251307, 2.1904347, -1.1854053, -0.22077966, -2.8879533, -1.0178473, -3.1201472, 0.66447973]","[-1.5280124, 1.910856, 1.1469662, 1.9266083, -3.0274167, -1.1348369, -1.8726674, -1.1662464, -0.3451221, 0.51001763, -1.5842928, -1.3941854]"
4.0,2.0,0.03495549139141768,0.72279716,0.0011368315316321082,"[2.4995527, -1.3134431]","[0.9404998, -3.1822972]","[0.9149298, 1.6947861]","[0.7675143, -2.8932536]","[0.0, -2.052304]","[0.0, 0.0]"
4.0,4.0,0.0280433649423238,0.99950135,0.0007906623953291473,"[-1.1682501, -0.102469765, 2.2353113, 0.6078375]","[-2.2562368, 1.4023595, 0.5309682, 2.8881671]","[-2.0905974, 0.41228023, 1.658065, 2.4694502]","[-0.09756439, 1.0806984, -0.596302, -1.7780138]","[0.0, 0.9827416, -3.0407565, -2.5182433]","[-0.0015821457, 0.0028595924, 3.1385682, 3.1407864]"
4.0,6.0,0.006985646996014513,0.9995321,9.317632942686463e-05,"[0.008700116, 0.021178978, 1.4456499, 3.0526383, -1.8529897, -0.53431255]","[0.060689803, -0.07783337, -2.9948955, -0.79356253, 0.042528316, -0.8874851]","[0.9672526, -0.37458166, -0.5991582, 0.11098729, -2.6854975, 0.2883201]","[1.502785, 1.9250152, -0.55994284, 0.31943467, -0.8985129, -1.4370366]","[0.0, 2.8475993, -2.761964, -2.2330387, 1.6304743, -0.9313669]","[-0.10720229, 0.064968586, 3.0623848, 0.030381203, 3.1355894, 0.06765866]"
4.0,8.0,0.09753037460153482,0.9964061,0.009128852154785217,"[1.8333646, -1.3325919, -0.12456889, -0.35712144, -2.6379151, -0.17468694, 1.1310953, 0.36132514]","[0.52789617, -0.01597653, 0.038560662, 0.05694316, -0.9136694, -1.9653081, 1.6313173, -0.36508143]","[-1.2991356, 1.3526301, -2.1260626, -0.036859885, 2.662411, -1.6685989, 0.46972746, 0.3197435]","[0.33174312, -1.3123643, -0.919807, 0.36383164, 0.067804955, 1.5013828, 0.6659237, 1.3608966]","[0.0, 0.89922595, -1.1512631, -2.1890292, -2.75304, 0.7662189, 2.4845707, 0.06745601]","[0.068226576, 0.335474, -2.9055245, -2.9745224, -0.49360132, 2.981394, 3.0561197, 0.6307609]"
4.0,10.0,0.035635134229771125,0.99787295,0.0013075793957304375,"[0.5620844, 2.08678, -0.25788236, 1.0272813, 1.8006775, -1.32467, -0.005887433, 1.7353511, 2.012867, -0.5496181]","[1.5771558, -1.0624447, 2.3422773, -2.0988235, -1.1022747, 2.0223625, 0.039708238, 0.5023493, -1.12515, 1.3711929]","[0.0038124865, 1.1087703, -1.2687705, -0.5568692, -3.625396, 1.9739261, 1.151219, -1.822425, 0.8416816, -2.2696755]","[0.0023401293, 1.0168475, -0.86992353, -0.95568496, -0.24592462, -2.2062347, -1.4078386, 0.39947096, -1.2010204, -1.0393538]","[0.0, 1.5839221, -2.5889583, 0.45199418, -0.23847699, 1.3563988, 1.1935008, -2.3010793, -2.4712203, 0.8182907]","[-2.104638, -1.531991, -0.012048006, 2.6467984, 3.1213853, 3.0842817, 1.9325879, -1.154634, -0.055989742, -0.0016906261]"
4.0,12.0,0.046001816707420574,0.9956037,0.0018695451787845011,"[1.4215336, -0.10213908, 0.15415213, -0.5532785, 0.40104377, 0.31483755, -0.05862609, -0.5788032, 2.0479434, -0.09503822, -1.500199, 1.0383219]","[1.5837764, 0.06149494, -0.0032687609, 1.6654674, 2.520617, 1.1193695, -0.020540787, -0.75987273, 0.07006595, -0.06512772, -1.3622235, 0.032729313]","[0.438208, -1.6978166, 0.8376562, -0.031109754, 2.5104778, -0.81430113, 0.57108957, 1.0609053, 0.1699092, 0.64923143, -2.897344, -2.017944]","[0.061375365, 0.5941582, 1.6630826, -2.9626918, 0.6029158, 0.6225524, 2.1104007, 1.922595, -0.13887031, 0.89417523, 0.8611598, 1.2221892]","[0.0, -0.9784553, -0.6295929, 0.9825752, 0.7914028, -0.085799456, 2.5268562, 0.14375257, 1.5286582, 1.979399, -1.8061298, -0.6352825]","[-0.03840995, -1.2605172, -1.9715927, 0.9762294, -0.053953648, -3.0922794, -1.3805841, -0.1759491, -3.1235168, 1.5041335, 0.6191795, -2.9685433]"
6.0,2.0,0.17869345750076454,0.22117534,0.03363033848352964,"[-0.30478838, 1.1345524]","[0.3810203, 1.7711692]","[2.7034695, 0.3661376]","[-1.9236807, -3.8447385]","[0.0, -1.7105596]","[-3.1415923, -3.1415923]"
6.0,4.0,0.06534531989422458,0.96243906,0.0035177000665295288,"[1.062656, 0.9480094, -1.0629791, 1.8885099]","[-1.4406408, -2.6479473, 3.493411, -0.7849943]","[-1.369398, -2.0968635, -0.6325429, -3.876596]","[-0.80803394, -0.7856147, 0.119149365, -0.6548731]","[0.0, -3.0932703, -0.88245964, -2.5921583]","[3.1415923, 0.0, 2.3841858e-07, -3.1415923]"
6.0,6.0,0.13500516042123703,0.9954859,0.011359148798750713,"[1.5584267, -0.0147413025, 1.128574, 1.6189278, 0.6515881, 1.9873378]","[1.5469741, -0.3303259, 1.2126781, -1.385202, 2.859488, -1.7531772]","[-0.2542958, -0.9554857, 0.3377651, -1.2270753, -3.9585388, 1.3895963]","[2.482398, -1.0500883, 0.6027654, -2.5933387, 0.42455375, -3.3073177]","[0.0, 1.13462, 2.3523667, 2.552149, -2.1540885, 1.548527]","[-3.1412785, -3.141155, -3.141474, -3.1414454, -3.1412778, -3.1414235]"
6.0,8.0,0.0020306664711952725,0.9986979,4.28326170676116e-06,"[0.32351547, 1.2796472, -2.7199647, 0.26755863, -1.0007538, 1.0811349, -1.1422994, -1.7827072]","[0.5132464, 1.0036432, -2.2411706, 0.093201585, 2.018466, 0.19828965, 1.1943883, -1.0252919]","[0.67636335, 1.3815069, -2.4178915, -1.9566703, -0.33210742, 0.43268335, 2.419015, 0.5595483]","[1.4195746, -0.8609304, 1.0644, 1.3031723, 2.461164, 1.2334464, 0.6028513, 2.7731616]","[0.0, 2.8767025, 0.6517389, -0.037197113, -0.09171295, -1.9024813, -0.25490952, 0.58542275]","[-3.1225893, 0.0067505836, 3.1377413, 0.022001743, -0.039138794, 3.1133053, 3.1338794, 0.010317802]"
6.0,10.0,0.024113827169144376,0.9982057,0.000731941357740798,"[1.7754761, -0.13990977, 0.17931716, 0.6989047, -1.1800231, -1.3637211, -0.9930513, 0.23502606, 0.71990186, 1.3905914]","[-1.3308036, -0.36752555, -3.8398657, -0.063431434, 0.2310645, -1.2510128, 1.6699111, -0.9055585, -0.669669, 0.5197954]","[-0.41592363, 0.2155676, 0.9333776, -0.3858569, 0.63558394, -2.1664581, 1.0952299, 0.4792011, 2.464061, -1.4069943]","[-3.225492, -0.011667129, -0.29782194, 0.78114617, 1.2883543, 1.1383467, 1.5778707, 1.5109067, 1.0304855, 2.8833003]","[0.0, 2.234532, 2.9542544, 1.4742038, -2.4346905, -0.7407069, -2.7602093, -2.17219, -1.0295951, -1.8125727]","[0.0038821697, 3.1236117, -3.1263027, -0.0040872097, 3.1391785, 0.002516508, 0.0039463043, -3.1330144, -0.0014324188, 0.0022263527]"
6.0,12.0,0.06334267630747699,0.9941054,0.0033794765300888246,"[0.5732834, 1.6766572, 1.4056462, -0.856635, -0.2395277, -1.7443339, -2.2532358, -2.4174464, 2.571349, 1.5211713, -2.7114902, 2.2952979]","[-0.69818497, 0.0361641, 0.2893273, -1.5735039, 0.8591017, -0.2803502, 0.13760415, -0.11281784, -0.32576647, 0.50896394, 0.7682288, -0.97161955]","[1.5351216, 0.60193914, -2.4708986, -0.57307017, 0.3780308, 2.1402586, -0.9840345, 0.032042548, -1.3741055, 2.950024, -0.7209109, 1.3814229]","[3.0138988, -1.9354838, 1.2818631, 1.0538732, 2.6830428, -0.4179384, -1.7612196, 0.030117458, -2.5448062, 1.0886743, -0.0015824253, 1.0697442]","[0.0, 1.3842223, -0.18994856, 1.2895977, -2.6255739, 0.17793179, 2.3188322, 2.140363, 1.7377284, -2.4592924, -2.1781943, 1.6423752]","[3.139652, 0.0102005005, 0.1795137, -3.09798, -3.1267626, -0.12284422, 2.9840696, -3.0436265, -2.8605783, -0.1347723, 3.1341274, 3.0974376]"
8.0,2.0,0.1574860221358317,0.19872896,0.024559027016323856,"[0.62043726, 2.0467637]","[4.9026837, -3.1243052]","[-2.5511568, 1.1600451]","[0.41927284, -1.8924139]","[0.0, -1.8385228]","[0.0, 0.0]"
8.0,4.0,0.06701246819538136,0.96472126,0.003637303888526444,"[5.303145, 2.098734, 0.7863609, 3.1006188]","[1.1919198, 1.9680384, -1.9622262, 1.1626748]","[1.2352244, 0.76148856, 0.64228565, 0.39940324]","[-3.2395406, 0.2699073, 1.8723599, -4.867122]","[0.0, -1.9521949, -1.8609492, -2.7205546]","[3.1415832, -3.1415894, 7.1525574e-06, 0.00058460236]"
8.0,6.0,0.9631453475158384,0.9631461,0.9251263613992096,"[-5.364999e-07, 1.6082595e-06, -1.5639793, 0.057951905, -0.65308136, -3.4029422e-06]","[2.081571e-06, -5.029353e-07, -0.09002623, -1.011431, -0.037710186, 1.4188579e-06]","[-0.6540041, -0.022556439, 1.5661846, -1.9280815e-05, -1.13592584e-07, 5.241868e-06]","[0.014676359, -1.0128447, -0.034984253, 7.4244394e-06, 5.3747874e-07, 1.3022008e-06]","[0.0, -1.5707968, -1.570793, 1.5708039, -1.5707865, 1.2397766e-05]","[1.5707915, -1.5706837, -1.5708554, 1.5709794, 1.5710652, -1.5708005]"
8.0,8.0,0.020806980618742477,0.9953208,0.00048006342999110286,"[2.099309, -1.835542, 0.02816653, -1.4904294, -2.1380727, -0.6803432, 1.1547036, 2.172648]","[2.5660007, -2.7183764, -0.10011097, -0.3892103, 0.52739584, 0.7610871, -3.5035357, 2.9996483]","[-0.50859296, -0.7363257, 1.4496461, -0.65503484, -1.6269547, -1.1116527, 1.6734376, -2.9769325]","[0.8564102, 1.3331318, 1.1153092, 1.4205415, 0.458661, 1.7768611, -1.925632, 0.48229918]","[0.0, 0.088570595, -0.025516748, 2.1306994, -1.7788466, -2.703348, 2.8254635, 2.0825312]","[0.003440857, 3.1412232, 3.135319, -3.1314685, 0.001055479, 0.00025987625, -0.0014641285, -3.1407597]"
8.0,10.0,0.066051551669952,0.9981744,0.00395902830629938,"[-2.2217724, 1.8980409, 1.7691885, -0.6195404, -0.16631454, 1.7638791, -0.33191687, -0.70651186, -0.35154852, -0.5955637]","[1.8157885, -0.83353007, -1.6527473, -0.386051, 0.5617831, 0.86438787, 0.8301121, 0.15731724, -0.60647607, 1.9738386]","[1.010081, -1.6966994, 1.5742257, -1.8976698, 1.6528417, 1.7214621, -0.8254429, -1.2716765, 0.051661484, -2.0538344]","[-1.6787649, -1.4295921, 2.6808107, 0.25040215, 2.9725354, 2.1097293, -1.5566279, -2.8449376, 0.034522418, 1.9922665]","[0.0, 0.37976003, 0.7799287, -2.8742564, -0.91707754, 2.5539935, -3.0858045, 2.696812, 1.9233482, 2.0508816]","[3.1396677, 3.133341, 3.1414444, 0.0011005402, -0.00021195412, -0.0006825924, 3.137071, -0.001704216, -0.0009768009, -0.0031015873]"
8.0,12.0,0.021378667791172184,0.9979994,0.0005868326007282059,"[-1.202957, 1.0288371, 1.2839274, 0.2348932, 0.623358, 0.4519467, 2.0355916, 2.8621168, 0.4009028, 0.906417, 1.2350615, 0.5768006]","[-1.0449975, -0.10061495, -2.3721735, -0.081572995, -1.9594715, -2.5279577, -2.68225, 1.1554509, 2.3907166, 2.8586059, 1.3825874, 2.320865]","[0.6287774, 1.2645825, 1.4827205, 2.1158495, 0.0010828814, -0.71103376, -2.311124, -1.2152692, -0.58742094, -1.1538792, -0.6882402, 0.014904313]","[-0.22762832, 0.47812036, 0.6526241, 0.30044225, -0.005626443, 1.0898364, -0.30475157, 0.7223295, -2.6128943, -1.2045822, -1.5091187, 1.7576349]","[0.0, 0.9678223, -3.1261322, 1.5820878, 3.137562, 1.3972752, -0.96235275, -1.3645287, -0.23478627, 2.8523133, 1.8048971, -1.2729231]","[-0.0015068054, -3.1370034, 3.1410177, -0.014492512, 0.01584506, -0.005293131, -3.1402216, 0.0012004375, -0.0011460781, 0.0031294823, 0.00491786, 3.122165]"
10.0,2.0,0.1353352837006211,0.13533601,0.018579264262519598,"[-0.8239649, -1.043797]","[-1.351525, 0.6363555]","[1.0430981, 0.8562334]","[-1.3088917, 0.6823589]","[0.0, -0.61645436]","[2.3538902, 2.3538897]"
10.0,4.0,0.541341133320967,0.54134595,0.29210284579078105,"[-6.284882e-07, 1.2216471, -0.6014339, -5.463355e-07]","[1.1979549e-07, 1.3619097, 0.539493, 4.3783353e-07]","[-0.10990762, -1.8125341, -3.1130685e-07, 1.0580934e-07]","[0.80043507, -0.24887931, 1.381135e-07, 7.114766e-08]","[0.0, 1.5707963, 1.5707963, 3.1415923]","[-1.5707971, -1.5707964, -1.5707966, -1.5707965]"
